choice_value,occ_survey,decline_unit,occ_code
1,"Manager, executive, or administrator","management jobs",11-0000
2,"Business, finance, or HR professional","business and financial jobs",13-0000
3,"Computer, software, math, or data professional","computer and mathematical jobs",15-0000
4,Engineer or architect,"architecture and engineering jobs",17-0000
5,"Scientist (life, physical, or social sciences)","science jobs",19-0000
6,"Counselor, social worker, or religious or community worker","community and social service jobs",21-0000
7,"Legal professional (lawyer, paralegal)","legal jobs",23-0000
8,"Teacher, instructor, or librarian","teaching and library jobs",25-0000
9,"Arts, design, entertainment, sports, or media","arts, design, and media jobs",27-0000
10,"Doctor, nurse, therapist, or other healthcare practitioner or technician","health care practitioner jobs",29-0000
11,"Healthcare support (aide, orderly, assistant)","health care support jobs",31-0000
12,"Protective service (police, security guard, firefighter)","protective service jobs",33-0000
13,"Food preparation or serving (cook, server, bartender)","food preparation and serving jobs",35-0000
14,"Building cleaning, janitorial, or groundskeeping","building cleaning and grounds maintenance jobs",37-0000
15,"Personal care or service (childcare, hairstylist, fitness)","personal care and service jobs",39-0000
16,"Sales (retail, insurance, real estate, sales rep)","sales jobs",41-0000
17,"Office, administrative, or clerical (including customer service)","office, administrative, and clerical jobs",43-0000
18,"Farming, fishing, or forestry","farming, fishing, and forestry jobs",45-0000
19,"Construction, mining, or extraction","construction and extraction jobs",47-0000
20,"Installation, maintenance, or repair (mechanic, HVAC, technician)","installation, maintenance, and repair jobs",49-0000
21,Production or factory work,"production jobs",51-0000
22,"Transportation, delivery, or material moving","transportation and material moving jobs",53-0000
23,Other (please describe),,
